season,mnth,weekday,weathersit,yr,hr,holiday,workingday,temp,atemp,hum,windspeed,cnt
summer,Aug,Tue,rain,2012,9,0,1,24.9,28.002199999999995,79.0,11.0014,276
summer,Jul,Wed,cloudy,2011,10,0,1,30.54,36.001400000000004,56.00000000000001,11.0014,141
spring,Mar,Sat,cloudy,2012,13,0,1,24.9,26.998999999999995,48.0,0.0,428
winter,Feb,Tue,clear,2011,3,0,1,1.4000000000000004,1.0015999999999998,86.0,0.0,1
spring,Mar,Sun,cloudy,2012,22,0,0,9.86,9.9974,71.0,16.997899999999998,156
summer,Aug,Wed,cloudy,2012,2,0,1,23.96,26.002399999999994,83.0,12.998,11
summer,Sep,Sun,cloudy,2011,12,0,0,16.44,17.0,67.0,15.0013,372
spring,May,Fri,cloudy,2011,14,0,1,21.14,24.0026,61.0,15.0013,191
fall,Nov,Thu,cloudy,2011,1,0,1,14.56,15.0002,94.0,19.9995,8
fall,Oct,Thu,cloudy,2012,11,0,1,15.5,15.9968,51.0,6.0032,234
winter,Feb,Fri,clear,2011,2,0,1,1.4000000000000004,-0.9982000000000006,64.0,6.0032,4
winter,Mar,Tue,clear,2012,20,0,1,20.2,24.0026,64.0,15.0013,330
spring,May,Wed,cloudy,2012,21,0,1,22.08,24.0026,65.0,19.0012,223
spring,Apr,Sat,rain,2011,22,0,1,6.1,3.998000000000001,100.0,8.9981,24
spring,May,Sat,clear,2011,5,0,1,12.68,13.0004,94.0,7.0015,28
fall,Oct,Tue,cloudy,2011,23,0,1,14.56,15.0002,88.0,0.0,62
spring,May,Tue,cloudy,2011,2,0,1,12.68,13.0004,77.0,15.0013,35
winter,Feb,Tue,clear,2012,15,0,1,11.739999999999998,11.997200000000005,32.0,19.0012,171
winter,Feb,Tue,clear,2012,10,0,1,7.040000000000001,3.998000000000001,45.0,16.997899999999998,104
winter,Mar,Mon,clear,2012,8,0,0,6.1,1.9982000000000009,52.0,22.0028,66
spring,Jun,Fri,clear,2012,18,0,1,26.78,28.002199999999995,42.0,12.998,823
spring,Apr,Thu,clear,2011,1,0,1,20.2,20.9996,83.0,16.997899999999998,17
summer,Jun,Mon,clear,2011,2,0,0,21.14,24.9992,56.99999999999999,7.0015,87
winter,Feb,Sat,cloudy,2012,17,0,1,7.98,5.997799999999998,42.0,12.998,396
winter,Mar,Thu,clear,2011,0,0,1,4.220000000000001,3.0014000000000003,65.0,6.0032,9
fall,Oct,Thu,cloudy,2011,22,0,1,14.56,15.0002,88.0,6.0032,135
spring,Apr,Sat,rain,2011,14,0,1,7.98,5.001199999999997,87.0,15.0013,15
spring,Apr,Fri,cloudy,2011,6,0,1,10.8,11.000600000000002,57.99999999999999,39.0007,75
winter,Jan,Mon,clear,2012,2,0,0,7.040000000000001,7.000999999999998,76.0,0.0,75
fall,Nov,Sun,clear,2012,10,0,0,8.919999999999998,5.997799999999998,46.0,26.0027,328
fall,Dec,Tue,clear,2011,20,0,1,6.1,5.001199999999997,56.00000000000001,6.0032,165
fall,Nov,Wed,rain,2011,10,0,1,10.8,11.000600000000002,94.0,0.0,52
spring,Jun,Thu,clear,2012,2,0,1,15.5,15.9968,68.0,0.0,11
winter,Feb,Wed,clear,2012,23,0,1,7.040000000000001,5.997799999999998,56.99999999999999,8.9981,51
spring,Jun,Mon,clear,2011,23,0,0,21.14,22.9994,78.0,8.9981,86
summer,Aug,Wed,clear,2012,15,0,1,30.54,34.0016,46.0,15.0013,283
winter,Jan,Tue,cloudy,2011,8,1,0,-0.4799999999999995,-6.001,47.0,15.0013,33
spring,May,Mon,clear,2012,9,0,0,23.020000000000003,24.0026,83.0,15.0013,270
fall,Nov,Mon,clear,2011,22,0,0,14.56,15.0002,41.0,26.0027,89
spring,Apr,Mon,clear,2011,3,0,0,15.5,15.9968,94.0,6.0032,24
winter,Feb,Sun,clear,2012,6,0,0,2.34,-0.9982000000000006,87.0,8.9981,5
spring,Jun,Sat,cloudy,2012,9,0,1,22.08,22.0028,83.0,15.0013,298
summer,Jul,Tue,cloudy,2012,2,0,1,26.78,28.002199999999995,51.0,16.997899999999998,15
winter,Mar,Wed,clear,2011,23,0,1,3.28,-0.9982000000000006,65.0,15.0013,25
spring,May,Thu,rain,2011,2,0,1,16.44,17.0,94.0,15.0013,6
spring,Apr,Sun,rain,2012,19,0,0,18.320000000000004,18.9998,73.0,32.9975,54
spring,Mar,Thu,cloudy,2011,18,0,1,4.220000000000001,1.0015999999999998,93.0,15.0013,85
spring,Jun,Wed,cloudy,2012,13,0,1,20.2,24.9992,46.0,11.0014,267
winter,Jan,Sun,clear,2011,8,0,0,-7.06,-16.0,44.0,22.0028,27
fall,Nov,Thu,rain,2011,3,0,1,15.5,15.9968,94.0,23.9994,3
fall,Dec,Sat,cloudy,2012,5,0,1,4.220000000000001,1.9982000000000009,81.0,7.0015,26
winter,Feb,Sat,cloudy,2012,22,0,1,7.040000000000001,7.000999999999998,66.0,0.0,113
winter,Feb,Sun,cloudy,2011,2,0,0,3.28,-0.0015999999999998,75.0,11.0014,17
fall,Oct,Sat,clear,2011,10,0,1,16.44,17.0,68.0,6.0032,174
winter,Dec,Tue,cloudy,2012,19,0,1,4.220000000000001,1.0015999999999998,60.0,11.0014,119
winter,Dec,Sun,clear,2012,10,0,0,4.220000000000001,-0.9982000000000006,48.0,22.0028,118
winter,Dec,Tue,clear,2011,13,1,0,9.86,9.9974,40.0,19.9995,140
spring,Jun,Fri,clear,2012,19,0,1,24.9,26.002399999999994,34.0,19.0012,602
fall,Nov,Thu,clear,2011,6,0,1,6.1,5.997799999999998,81.0,0.0,92
fall,Oct,Wed,clear,2011,16,0,1,21.14,24.9992,56.99999999999999,16.997899999999998,304
summer,Aug,Tue,cloudy,2012,20,0,1,21.14,22.0028,83.0,19.0012,261
summer,Jul,Tue,rain,2012,0,0,1,25.84,30.001999999999995,79.0,7.0015,43
spring,May,Fri,clear,2011,20,0,1,17.380000000000003,18.0032,77.0,19.0012,282
summer,Sep,Mon,clear,2012,11,0,0,22.08,24.9992,47.0,11.0014,559
winter,Feb,Wed,clear,2011,20,0,1,-0.4799999999999995,-6.9976,40.0,22.0028,56
fall,Dec,Wed,clear,2011,14,0,1,10.8,11.000600000000002,37.0,16.997899999999998,134
winter,Mar,Mon,clear,2012,0,0,0,4.220000000000001,3.0014000000000003,44.0,6.0032,69
fall,Sep,Sun,clear,2011,19,0,0,21.14,20.9996,88.0,0.0,308
spring,Mar,Fri,rain,2011,4,0,1,3.28,-0.9982000000000006,93.0,16.997899999999998,2
winter,Jan,Thu,clear,2011,13,0,1,5.160000000000002,1.0015999999999998,30.0,19.9995,71
summer,Aug,Sat,cloudy,2012,0,0,1,23.020000000000003,24.9992,69.0,0.0,111
winter,Feb,Tue,clear,2012,21,0,1,5.160000000000002,3.0014000000000003,45.0,8.9981,147
winter,Mar,Sat,rain,2012,18,0,1,8.919999999999998,7.000999999999998,87.0,12.998,160
fall,Nov,Thu,clear,2012,14,0,1,13.62,13.997,33.0,12.998,413
spring,Mar,Sat,clear,2011,14,0,1,8.919999999999998,5.997799999999998,32.0,22.0028,133
fall,Oct,Tue,cloudy,2011,9,0,1,10.8,11.000600000000002,66.0,6.0032,153
fall,Oct,Fri,clear,2012,7,0,1,12.68,13.0004,88.0,16.997899999999998,508
summer,Aug,Wed,clear,2011,7,0,1,18.320000000000004,18.9998,68.0,8.9981,357
winter,Mar,Thu,clear,2012,3,0,1,14.56,15.0002,72.0,12.998,4
fall,Oct,Thu,rain,2011,22,0,1,17.380000000000003,18.0032,94.0,6.0032,43
fall,Nov,Wed,cloudy,2012,4,0,1,7.98,5.997799999999998,66.0,12.998,6
spring,Jun,Mon,cloudy,2011,6,0,0,21.14,24.0026,61.0,7.0015,21
winter,Jan,Thu,clear,2011,18,0,1,3.28,-0.0015999999999998,38.0,8.9981,169
winter,Mar,Tue,clear,2012,0,0,1,9.86,9.9974,54.0,12.998,24
spring,Apr,Tue,clear,2012,20,1,0,26.78,26.998999999999995,37.0,19.9995,375
spring,May,Mon,cloudy,2011,6,0,0,21.14,20.9996,88.0,12.998,15
spring,Apr,Mon,clear,2011,23,0,0,10.8,11.000600000000002,50.0,6.0032,31
spring,May,Wed,rain,2012,22,0,1,20.2,22.0028,78.0,16.997899999999998,147
winter,Dec,Tue,cloudy,2012,22,0,1,3.28,3.0014000000000003,93.0,0.0,12
winter,Feb,Fri,clear,2011,8,0,1,-1.419999999999999,-8.0008,50.0,23.9994,188
spring,Mar,Thu,cloudy,2012,6,0,1,14.56,15.0002,94.0,15.0013,149
summer,Aug,Thu,clear,2012,0,0,1,21.14,22.0028,83.0,7.0015,55
spring,May,Sun,clear,2012,1,0,0,15.5,15.9968,48.0,0.0,93
winter,Feb,Thu,clear,2012,18,0,1,18.320000000000004,18.9998,46.0,11.0014,526
winter,Jan,Sun,clear,2012,19,0,0,1.4000000000000004,-2.9979999999999998,47.0,15.0013,102
summer,Aug,Wed,clear,2012,6,0,1,18.320000000000004,18.9998,83.0,7.0015,169
spring,May,Tue,clear,2011,10,0,1,23.020000000000003,24.9992,74.0,19.9995,121
fall,Dec,Thu,clear,2012,20,0,1,7.98,3.998000000000001,46.0,26.0027,293
summer,Jul,Mon,clear,2011,14,0,0,30.54,32.9984,41.0,22.0028,349
spring,May,Sun,clear,2011,8,0,0,21.14,22.9994,78.0,12.998,102
fall,Nov,Sat,clear,2012,15,0,1,14.56,15.0002,41.0,16.997899999999998,447
summer,Jul,Mon,clear,2012,20,0,0,26.78,30.001999999999995,66.0,7.0015,303
summer,Jul,Wed,clear,2011,7,0,1,27.72,30.001999999999995,55.00000000000001,12.998,330
spring,May,Wed,cloudy,2011,13,0,1,24.9,26.998999999999995,57.99999999999999,40.9973,194
fall,Nov,Fri,cloudy,2011,14,0,1,7.98,3.998000000000001,49.0,26.0027,110
winter,Jan,Tue,clear,2012,11,0,1,4.220000000000001,1.0015999999999998,38.0,0.0,99
winter,Jan,Thu,clear,2012,12,0,1,7.040000000000001,5.997799999999998,53.0,8.9981,193
summer,Aug,Wed,clear,2012,5,0,1,24.9,28.002199999999995,79.0,7.0015,36
fall,Nov,Sat,clear,2012,16,0,1,9.86,9.9974,40.0,22.0028,421
fall,Oct,Thu,rain,2011,12,0,1,19.26,20.003,53.0,15.0013,194
fall,Sep,Tue,clear,2012,23,0,1,13.62,13.997,63.0,8.9981,94
summer,Aug,Sun,cloudy,2012,18,0,0,24.9,28.002199999999995,74.0,19.9995,300
spring,Jun,Fri,clear,2012,13,0,1,24.9,26.002399999999994,37.0,19.0012,315
summer,Sep,Mon,clear,2011,1,0,0,13.62,13.997,77.0,15.0013,79
winter,Jan,Sat,clear,2012,23,0,1,7.040000000000001,3.0014000000000003,49.0,27.9993,86
fall,Dec,Thu,cloudy,2011,21,0,1,7.98,5.997799999999998,66.0,11.0014,154
spring,Apr,Sun,clear,2012,7,0,0,15.5,15.9968,82.0,19.0012,76
spring,Mar,Sun,cloudy,2011,22,0,0,5.160000000000002,1.9982000000000009,41.0,15.0013,63
fall,Nov,Tue,clear,2012,23,0,1,7.98,7.000999999999998,66.0,7.0015,74
summer,Aug,Fri,clear,2011,12,0,1,29.6,32.9984,52.0,19.0012,173
summer,Sep,Sun,cloudy,2012,3,0,0,23.020000000000003,22.9994,89.0,15.0013,43
winter,Feb,Tue,clear,2012,6,0,1,-3.3,-8.997399999999999,54.0,15.0013,72
fall,Nov,Mon,cloudy,2012,14,0,0,6.1,3.0014000000000003,42.0,16.997899999999998,203
fall,Nov,Tue,clear,2011,3,0,1,7.040000000000001,7.000999999999998,93.0,0.0,3
summer,Sep,Fri,rain,2012,9,0,1,23.020000000000003,22.9994,94.0,8.9981,123
spring,Mar,Wed,cloudy,2011,4,0,1,11.739999999999998,11.997200000000005,82.0,11.0014,1
spring,May,Sun,clear,2012,13,0,0,27.72,32.0018,66.0,12.998,539
fall,Oct,Sun,clear,2012,7,0,0,10.8,11.000600000000002,82.0,0.0,65
fall,Oct,Fri,cloudy,2011,0,0,1,17.380000000000003,18.0032,94.0,8.9981,15
fall,Oct,Tue,cloudy,2012,13,0,1,18.320000000000004,18.9998,88.0,15.0013,146
winter,Mar,Fri,clear,2012,15,0,1,22.08,24.9992,38.0,46.0022,185
fall,Dec,Wed,cloudy,2012,6,0,1,7.98,3.998000000000001,71.0,19.9995,118
spring,Apr,Wed,clear,2012,0,0,1,10.8,11.000600000000002,43.0,8.9981,33
spring,May,Thu,cloudy,2012,5,0,1,21.14,22.9994,78.0,8.9981,41
summer,Jul,Sun,clear,2011,23,0,0,29.6,34.998200000000004,59.0,7.0015,104
winter,Feb,Thu,clear,2012,15,0,1,15.5,15.9968,31.0,27.9993,195
summer,Aug,Mon,clear,2012,8,0,0,23.020000000000003,24.9992,54.0,15.0013,119
summer,Sep,Wed,clear,2012,20,0,1,26.78,30.001999999999995,70.0,16.997899999999998,385
fall,Oct,Sat,cloudy,2012,22,0,1,16.44,17.0,83.0,8.9981,217
summer,Jul,Mon,clear,2012,4,0,0,22.08,24.0026,69.0,12.998,13
spring,Apr,Tue,rain,2012,17,0,1,6.1,1.9982000000000009,82.0,22.0028,232
fall,Dec,Wed,cloudy,2012,20,0,1,15.5,15.9968,63.0,15.0013,306
summer,Jul,Fri,clear,2012,4,0,1,25.84,28.002199999999995,57.99999999999999,0.0,7
fall,Sep,Sun,cloudy,2012,2,0,0,17.380000000000003,18.0032,56.00000000000001,15.0013,92
spring,May,Wed,clear,2011,1,0,1,13.62,13.997,59.0,6.0032,15
winter,Jan,Sun,cloudy,2011,23,0,0,13.62,13.997,88.0,19.9995,39
spring,Mar,Thu,cloudy,2012,15,0,1,21.14,24.9992,41.0,19.9995,199
spring,May,Wed,clear,2011,18,0,1,31.48,36.998000000000005,53.0,12.998,417
summer,Jul,Tue,clear,2012,7,0,1,24.9,28.002199999999995,84.0,8.9981,421
summer,Aug,Thu,clear,2011,11,0,1,28.660000000000004,30.001999999999995,43.0,7.0015,128
fall,Dec,Tue,clear,2011,0,0,1,1.4000000000000004,-0.9982000000000006,75.0,6.0032,17
spring,Apr,Sat,clear,2012,6,0,1,7.040000000000001,5.001199999999997,56.99999999999999,11.0014,84
spring,Apr,Sat,clear,2012,22,0,1,11.739999999999998,11.997200000000005,38.0,16.997899999999998,158
winter,Feb,Mon,clear,2011,18,0,0,10.8,11.000600000000002,54.0,12.998,127
winter,Mar,Tue,clear,2011,22,0,1,7.040000000000001,5.997799999999998,49.0,7.0015,47
winter,Mar,Tue,clear,2012,11,0,1,12.68,13.0004,44.0,15.0013,150
spring,May,Mon,clear,2011,17,0,0,26.78,30.001999999999995,70.0,19.0012,383
winter,Feb,Sun,rain,2011,8,0,0,1.4000000000000004,-0.9982000000000006,100.0,6.0032,10
fall,Dec,Wed,cloudy,2012,8,0,1,7.98,3.998000000000001,61.0,19.9995,724
fall,Dec,Thu,rain,2011,14,0,1,12.68,13.0004,100.0,12.998,25
fall,Nov,Sun,cloudy,2012,11,0,0,8.919999999999998,5.997799999999998,46.0,26.0027,340
summer,Sep,Mon,clear,2012,14,0,0,25.84,26.998999999999995,30.0,19.0012,647
summer,Sep,Tue,clear,2012,21,0,1,18.320000000000004,18.9998,49.0,11.0014,285
winter,Jan,Tue,clear,2012,3,0,1,3.28,-0.9982000000000006,48.0,12.998,4
fall,Nov,Fri,clear,2011,3,1,0,5.160000000000002,3.0014000000000003,65.0,8.9981,5
fall,Nov,Mon,clear,2011,10,0,0,8.919999999999998,7.9975999999999985,66.0,6.0032,262
spring,May,Sun,cloudy,2011,18,0,0,24.9,26.002399999999994,45.0,11.0014,444
spring,Apr,Sun,clear,2012,12,0,0,22.08,24.9992,56.99999999999999,15.0013,640
spring,Apr,Wed,clear,2011,16,0,1,18.320000000000004,18.9998,52.0,19.9995,192
winter,Dec,Fri,cloudy,2012,17,0,1,4.220000000000001,-0.0015999999999998,52.0,19.0012,257
winter,Dec,Thu,clear,2011,2,0,1,7.040000000000001,3.998000000000001,61.0,16.997899999999998,7
summer,Jul,Thu,clear,2011,15,0,1,27.72,32.0018,70.0,19.0012,185
summer,Jul,Tue,clear,2012,8,0,1,25.84,30.001999999999995,79.0,7.0015,738
fall,Nov,Thu,cloudy,2011,17,0,1,14.56,15.0002,88.0,12.998,233
winter,Feb,Mon,cloudy,2012,10,0,0,4.220000000000001,-0.0015999999999998,65.0,19.0012,148
summer,Jul,Fri,clear,2011,7,0,1,25.84,28.9988,70.0,11.0014,305
summer,Jun,Fri,clear,2012,11,0,1,32.42,36.001400000000004,41.0,8.9981,161
summer,Sep,Thu,cloudy,2011,19,0,1,24.9,26.998999999999995,70.0,7.0015,381
winter,Feb,Thu,clear,2012,17,0,1,19.26,20.003,43.0,12.998,539
spring,Apr,Mon,clear,2012,23,0,0,15.5,15.9968,39.0,16.997899999999998,51
winter,Feb,Fri,clear,2011,4,0,1,7.040000000000001,5.001199999999997,56.99999999999999,12.998,4
fall,Sep,Mon,clear,2012,9,0,0,15.5,15.9968,51.0,22.0028,276
summer,Sep,Fri,cloudy,2011,1,0,1,20.2,18.0032,94.0,6.0032,11
fall,Dec,Mon,cloudy,2012,3,0,0,10.8,11.000600000000002,87.0,7.0015,48
winter,Jan,Mon,clear,2011,12,0,0,-0.4799999999999995,-8.0008,37.0,31.0009,116
winter,Dec,Mon,clear,2012,22,0,0,3.28,1.0015999999999998,60.0,7.0015,58
spring,Jun,Wed,cloudy,2011,14,0,1,29.6,32.0018,43.0,19.0012,146
winter,Mar,Fri,clear,2011,10,0,1,0.4599999999999991,-4.001200000000001,29.0,12.998,56
fall,Oct,Wed,cloudy,2012,12,0,1,21.14,24.9992,46.0,6.0032,378
winter,Feb,Wed,clear,2012,8,0,1,1.4000000000000004,-0.9982000000000006,69.0,6.0032,464
summer,Aug,Tue,clear,2011,12,0,1,34.300000000000004,36.998000000000005,33.0,16.997899999999998,168
summer,Sep,Thu,cloudy,2011,12,0,1,22.08,22.9994,78.0,6.0032,193
fall,Dec,Wed,clear,2011,11,0,1,7.98,5.001199999999997,46.0,16.997899999999998,124
winter,Dec,Mon,cloudy,2012,3,0,0,4.220000000000001,-0.9982000000000006,56.00000000000001,27.9993,15
fall,Oct,Sat,clear,2012,19,0,1,11.739999999999998,11.997200000000005,41.0,15.0013,493
spring,Apr,Tue,cloudy,2012,23,0,1,16.44,17.0,55.00000000000001,15.0013,60
summer,Aug,Wed,clear,2011,19,0,1,23.020000000000003,24.9992,50.0,15.0013,367
summer,Aug,Fri,clear,2011,23,0,1,23.020000000000003,24.9992,50.0,11.0014,127
winter,Jan,Sat,rain,2011,9,0,1,0.4599999999999991,-2.0013999999999985,86.0,6.0032,101
summer,Jul,Thu,clear,2011,17,0,1,31.48,38.997800000000005,59.0,12.998,455
summer,Sep,Fri,clear,2011,15,0,1,25.84,28.002199999999995,51.0,8.9981,174
winter,Mar,Sat,clear,2012,2,0,1,7.98,5.001199999999997,53.0,19.0012,6
winter,Jan,Mon,clear,2012,6,0,0,1.4000000000000004,-0.9982000000000006,40.0,7.0015,5
spring,May,Thu,clear,2011,20,0,1,10.8,11.000600000000002,62.0,22.0028,191
fall,Sep,Sun,clear,2012,13,0,0,21.14,24.9992,41.0,19.9995,686
spring,May,Fri,cloudy,2011,8,0,1,23.020000000000003,24.0026,83.0,11.0014,489
fall,Oct,Mon,clear,2012,14,0,0,23.020000000000003,24.9992,39.0,27.9993,617
spring,May,Sun,clear,2012,15,0,0,23.96,24.9992,24.0,12.998,590
summer,Sep,Wed,clear,2012,13,0,1,23.020000000000003,24.9992,29.0,6.0032,328
winter,Dec,Fri,cloudy,2011,9,0,1,1.4000000000000004,-2.0013999999999985,64.0,8.9981,170
spring,May,Mon,clear,2012,20,0,0,20.2,24.0026,64.0,12.998,276
spring,May,Mon,clear,2011,11,0,0,24.9,26.998999999999995,54.0,12.998,373
fall,Oct,Sun,clear,2012,3,0,0,15.5,15.9968,88.0,11.0014,26
fall,Oct,Tue,clear,2011,17,0,1,18.320000000000004,18.9998,64.0,8.9981,620
spring,Jun,Mon,clear,2012,11,0,0,21.14,24.9992,56.99999999999999,7.0015,546
summer,Jul,Mon,clear,2012,0,0,0,23.96,26.002399999999994,89.0,11.0014,187
summer,Sep,Tue,clear,2012,4,0,1,16.44,17.0,68.0,19.0012,5
fall,Dec,Mon,clear,2011,14,0,0,11.739999999999998,11.997200000000005,62.0,8.9981,323
summer,Aug,Fri,clear,2011,4,0,1,22.08,24.0026,73.0,15.0013,9
winter,Feb,Thu,rain,2011,1,0,1,2.34,-0.9982000000000006,93.0,12.998,3
spring,Jun,Fri,clear,2012,0,0,1,16.44,17.0,77.0,8.9981,59
summer,Jul,Fri,clear,2011,15,0,1,32.42,36.001400000000004,41.0,16.997899999999998,166
summer,Jul,Sat,cloudy,2012,3,0,1,23.96,26.002399999999994,61.0,0.0,9
summer,Sep,Sat,cloudy,2011,5,0,1,21.14,20.003,94.0,8.9981,14
winter,Dec,Wed,cloudy,2012,6,1,0,2.34,-0.9982000000000006,93.0,8.9981,7
summer,Aug,Fri,clear,2011,9,0,1,25.84,28.9988,66.0,16.997899999999998,228
summer,Jul,Mon,cloudy,2012,1,0,0,23.96,26.002399999999994,89.0,8.9981,168
winter,Jan,Wed,clear,2011,2,0,1,-0.4799999999999995,-6.001,69.0,15.0013,2
winter,Feb,Tue,clear,2012,1,0,1,-2.3600000000000003,-8.0008,50.0,15.0013,6
fall,Nov,Thu,clear,2012,21,0,1,6.1,5.997799999999998,56.00000000000001,0.0,213
spring,Jun,Mon,clear,2012,6,0,0,21.14,22.9994,73.0,0.0,30
spring,Jun,Mon,clear,2012,10,0,0,21.14,24.9992,43.0,15.0013,404
winter,Mar,Mon,cloudy,2012,13,0,0,13.62,13.997,82.0,11.0014,544
fall,Sep,Wed,clear,2012,14,0,1,23.020000000000003,24.9992,39.0,22.0028,293
spring,May,Sat,clear,2011,22,0,1,17.380000000000003,18.0032,73.0,0.0,152
summer,Aug,Thu,rain,2011,19,0,1,24.9,28.002199999999995,84.0,0.0,321
spring,Apr,Sun,cloudy,2011,7,0,0,4.220000000000001,1.9982000000000009,70.0,7.0015,18
fall,Oct,Tue,cloudy,2011,8,0,1,11.739999999999998,11.997200000000005,88.0,11.0014,398
fall,Nov,Sun,clear,2011,11,0,0,8.919999999999998,7.9975999999999985,46.0,7.0015,238
spring,Jun,Tue,clear,2011,21,0,1,23.020000000000003,24.9992,56.99999999999999,6.0032,189
summer,Jul,Mon,cloudy,2012,3,0,0,23.96,26.002399999999994,89.0,11.0014,57
winter,Dec,Fri,cloudy,2011,10,0,1,2.34,-0.9982000000000006,64.0,11.0014,110
summer,Jul,Fri,clear,2011,22,0,1,26.78,28.9988,62.0,11.0014,182
winter,Jan,Wed,clear,2012,20,0,1,7.040000000000001,7.000999999999998,76.0,0.0,229
spring,May,Wed,rain,2012,16,0,1,22.08,24.0026,73.0,15.0013,389
summer,Sep,Mon,clear,2012,1,0,0,18.320000000000004,18.9998,73.0,15.0013,124
spring,May,Sun,clear,2011,4,0,0,10.8,11.000600000000002,82.0,7.0015,5
winter,Jan,Thu,cloudy,2012,19,0,1,7.98,7.9975999999999985,53.0,0.0,316
fall,Oct,Sat,clear,2011,11,0,1,18.320000000000004,18.9998,63.0,0.0,230
winter,Jan,Wed,clear,2012,23,0,1,7.040000000000001,7.000999999999998,76.0,0.0,99
winter,Jan,Wed,clear,2012,23,0,1,13.62,13.997,72.0,26.0027,61
summer,Jul,Tue,cloudy,2011,7,0,1,26.78,30.9986,79.0,0.0,277
fall,Oct,Thu,cloudy,2012,16,0,1,25.84,28.002199999999995,57.99999999999999,0.0,478
summer,Jul,Sat,cloudy,2012,9,0,1,25.84,28.002199999999995,51.0,0.0,414
spring,May,Sat,cloudy,2012,13,0,1,22.08,24.0026,73.0,0.0,278
fall,Nov,Mon,clear,2012,13,0,0,10.8,11.000600000000002,43.0,15.0013,493
winter,Jan,Wed,clear,2012,15,0,1,17.380000000000003,18.0032,26.0,30.0026,177
spring,Jun,Sun,clear,2012,10,0,0,20.2,24.9992,53.0,19.9995,493
winter,Jan,Tue,clear,2011,11,0,1,1.4000000000000004,-4.001200000000001,40.0,22.0028,51
spring,May,Sat,clear,2011,2,0,1,23.96,26.002399999999994,61.0,15.0013,18
spring,May,Wed,cloudy,2011,21,0,1,22.08,24.9992,61.0,30.0026,225
winter,Jan,Wed,cloudy,2011,16,0,1,2.34,-0.9982000000000006,87.0,12.998,61
spring,May,Tue,clear,2011,8,0,1,16.44,17.0,55.00000000000001,15.0013,374
fall,Oct,Sat,clear,2011,19,0,1,18.320000000000004,18.9998,52.0,0.0,294
summer,Sep,Wed,cloudy,2012,9,0,1,23.020000000000003,24.0026,83.0,39.0007,293
winter,Mar,Thu,clear,2012,5,0,1,5.160000000000002,1.0015999999999998,56.00000000000001,19.9995,18
summer,Jun,Tue,clear,2012,0,0,1,25.84,28.9988,62.0,16.997899999999998,68
fall,Oct,Thu,clear,2011,16,0,1,22.08,24.9992,47.0,22.0028,282
fall,Nov,Sat,cloudy,2011,1,0,1,10.8,11.000600000000002,82.0,0.0,17
winter,Mar,Mon,clear,2012,17,0,0,16.44,17.0,27.0,19.9995,498
summer,Sep,Sun,clear,2011,8,0,0,22.08,24.0026,69.0,11.0014,89
summer,Jun,Wed,clear,2012,5,0,1,16.44,17.0,48.0,26.0027,39
spring,Apr,Mon,clear,2012,5,0,0,15.5,15.9968,68.0,11.0014,10
summer,Jul,Tue,clear,2012,19,0,1,26.78,28.9988,55.00000000000001,11.0014,631
fall,Nov,Fri,clear,2011,0,0,1,8.919999999999998,7.9975999999999985,76.0,6.0032,31
winter,Jan,Mon,cloudy,2012,16,0,0,12.68,13.0004,54.0,19.9995,215
winter,Jan,Mon,clear,2011,18,0,0,-2.3600000000000003,-8.0008,30.0,16.997899999999998,49
winter,Mar,Sat,clear,2011,20,0,1,21.14,24.9992,46.0,8.9981,149
summer,Jul,Tue,clear,2011,18,0,1,32.42,38.997800000000005,53.0,26.0027,472
summer,Jun,Mon,clear,2012,8,0,0,24.9,26.998999999999995,57.99999999999999,0.0,141
winter,Mar,Thu,clear,2012,0,0,1,17.380000000000003,18.0032,60.0,7.0015,39
summer,Aug,Sat,clear,2011,5,0,1,20.2,24.9992,56.00000000000001,8.9981,26
winter,Feb,Fri,clear,2011,7,0,1,7.040000000000001,5.997799999999998,56.99999999999999,7.0015,126
spring,Apr,Sat,clear,2012,3,0,1,12.68,13.0004,88.0,7.0015,10
fall,Oct,Sun,clear,2011,1,0,0,13.62,13.997,82.0,0.0,65
fall,Oct,Fri,cloudy,2012,6,0,1,16.44,17.0,88.0,12.998,171
winter,Jan,Tue,clear,2011,1,0,1,2.34,-2.0013999999999985,64.0,16.997899999999998,7
winter,Mar,Wed,cloudy,2012,15,0,1,21.14,24.0026,69.0,7.0015,244
winter,Feb,Thu,rain,2011,5,0,1,2.34,-0.0015999999999998,93.0,7.0015,3
spring,May,Fri,cloudy,2012,23,0,1,22.08,22.9994,78.0,8.9981,167
winter,Mar,Thu,cloudy,2011,11,0,1,8.919999999999998,7.000999999999998,81.0,8.9981,75
spring,Mar,Fri,cloudy,2011,0,0,1,7.040000000000001,3.998000000000001,93.0,15.0013,11
spring,Mar,Sun,rain,2012,14,0,0,16.44,17.0,88.0,23.9994,223
fall,Nov,Mon,clear,2011,15,0,0,14.56,15.0002,51.0,12.998,306
summer,Aug,Wed,clear,2012,4,0,1,23.020000000000003,24.0026,83.0,8.9981,8
fall,Oct,Sun,clear,2011,22,0,0,15.5,15.9968,36.0,8.9981,166
summer,Jul,Tue,clear,2012,1,0,1,24.9,28.002199999999995,74.0,0.0,19
fall,Oct,Fri,clear,2011,0,0,1,13.62,13.997,94.0,0.0,26
